Bank,Number_of_Islands,Geographic_Area,Geographic_Isolation,Island_Spread,Economic_Isolation,Average_Population,Topographic_Complexity,Anthropogenic_Habitat,Green_Habitat
Great Bahama,714,7723.968918,508.5053586,0.940283216,704,252761.8234,5.076291107,0.007691179,0.828592575
Great Inagua,3,1546.628894,350.8441765,0.270750944,0,809.2128364,2.564354609,0.00045045,0.844894894
Grenada,51,408.5365419,409.5517796,0.807275739,257,102527.5006,165.5262372,0.029638412,0.927682276
Guadeloupe,20,1475.737419,781.2457824,0.56280023,297,375054.4472,245.916402,0.157073565,0.835004043
Guanaja,6,57.21817495,224.4994811,0.467136417,0,4970.813798,88.36108658,0,0.942386831
Hispaniola,59,75198.99913,0,0.414608181,957,20237241.63,449.2484105,0.158650086,0.831617487
Iles des Saintes,5,14.32145354,754.2064812,0.593992255,4,1902.286152,69.63987801,0.034482759,0.896551724
Ilsa de Providencia,3,23.17409135,474.4315702,0.22787068,1,4419.391911,74.60549878,0,0.959183673
Jamaica,15,10999.69241,433.0490211,0.185043544,1178,2653064.146,274.3817187,0.075919604,0.919935974
Klein Curacao,1,1.367440191,252.7835654,0.093524602,0,0,1.008636704,0,1
Las Aves,5,2.819732527,346.1332587,0.882357433,0,0,2.279859754,0,0.692307692
Lighthouse Atoll,4,6.91900578,265.0311749,0.953977908,0,132.0542671,2.149577146,0,0.8
Little Bahama,479,2608.131923,668.8569698,0.852876982,467,61661.36876,3.644801622,0.011646827,0.888669996
Little Cayman,2,31.79615299,469.0366777,0.240699085,0,811.7922167,2.515484212,0,0.946564886
Little Inagua,1,132.5572521,414.4894534,0.138684046,0,78.42339143,2.491311254,0,0.985964912
Marie Galante,1,159.8566158,761.7841651,0.052327964,1,11106.30836,52.53246469,0.004484305,0.983557548
Martinique,29,1117.960131,666.6074934,0.281560952,354,385381.0138,188.922819,0.070475576,0.916828061
Mayaguana,7,289.1127621,512.5674764,0.411465768,0,258.567958,3.508411564,0,0.960191083
Mira Por Vos,3,1.10126525,401.1292017,0.929373573,0,0.328813827,1.521197623,0,0
Mona,1,57.67350602,257.4240881,0.083485277,0,4.400254962,19.15698138,0,0.975308641
Monito,1,0.209690611,239.8829879,0.004229809,0,0,13.85287964,NA,NA
Monjes,4,0.305550958,192.2958339,0.993785737,0,0.208007436,0,0,0
Montserrat,1,100.6441045,802.9718583,0.107071725,23,4509.354516,176.7427377,0.080952381,0.878571429
Morant,2,0.234419445,439.3254548,0.816973412,0,2.674598139,1.057175453,0,1
Navassa,1,4.610743109,237.3272842,0.051530596,0,0,20.37680026,0,0.9
Orchila,5,49.05057683,358.0660175,0.402227413,0,0,9.050855298,0,0.661691542
Pedro,2,0.119100376,556.5142063,0.926160042,0,1.017766471,0.927491345,NA,NA
Plana Cays,2,15.36863494,500.4029289,0.715887627,0,11.66568734,2.117420439,0.015151515,0.787878788
Puerto Rico,168,9219.463175,455.4061954,0.530295916,1328,3758915.287,227.7113594,0.19118928,0.801175958
Redonda,1,0.859344191,812.3214671,0.104114632,0,0,47.49263388,0,0.333333333
Roatan,12,130.4472308,242.0892429,0.551959884,62,37694.52337,34.93598191,0,0.975881262
Roques,49,55.84231157,365.4838906,0.923175663,1,156.5950197,4.490423623,0,0.429166667
Rum Cay,2,81.10281183,544.1201904,0.197444309,0,82.16447375,4.654801399,0,0.923295454
Saba,1,14.34393467,740.809812,0.069001723,0,1554.095833,191.9056965,0,0.999999999
Samana,4,35.62554787,540.069022,0.472875994,0,33.52772442,3.272551327,0,0.968553459
San Andres,2,28.1937867,439.3615977,0.258696798,14,64392.94722,22.28534188,0.052631579,0.885964912
San Salvador,11,155.2680752,588.3866361,0.316423929,0,857.5392204,5.682056631,0,0.827232796
Sombrero,1,0.538643145,718.967641,0.167590421,0,18.41748165,2.43406512,0,0.333333333
St. Christopher,3,290.5512498,781.4103081,0.545846785,257,51927.28694,190.8385581,0.033469388,0.942857144
St. Croix,5,220.62178,622.9981686,0.310263078,61,47065.59717,57.58763655,0.15587918,0.826860842
St. Lucia,7,614.4929309,603.5706454,0.120967109,302,159529.2272,133.6667686,0.033818325,0.959496658
St. Vincent,4,348.6722994,536.9737544,0.079907198,88,94111.96149,241.5296135,0.040389972,0.953342619
Swan,2,4.172920079,426.5524646,0.423547005,0,124.9002622,5.148640682,0,0.9375
Testigos,8,7.623465029,268.0119231,0.770633649,0,40.44560631,50.13201381,0,0.827586207
Tobago,6,310.8683987,376.8518622,0.242992142,50,56476.96826,134.9757567,0.025821596,0.956964008
Tortuga,4,157.1733144,297.6197267,0.288432918,0,1196.027325,14.15392224,0,0.956923077
Trinidad,16,4848.146421,261.4401723,0.375668842,505,1232904.312,109.0618458,0.082408715,0.912598345
Turks,10,30.31427472,406.0206826,0.888837818,7,4040.639495,4.866787765,0.022900763,0.725190839
Turneffe,48,129.8644301,192.7393348,0.749634052,0,3199.111969,2.388413484,0,0.843137255
Utila,2,41.2872198,192.0476371,0.23712428,0,2504.389123,5.111759074,0,0.953216373
